countyfips,countyname,statename,predicted_deaths_by_october_06,predicted_deaths_by_october_07,predicted_deaths_by_october_08,predicted_deaths_by_october_09,predicted_deaths_by_october_10,predicted_deaths_by_october_11,predicted_deaths_by_october_12,severity_county_5-day
36047,Kings,NY,7348.2,7356.8,7366,7375.6,7385.8,7396.5,7407.8,3
36081,Queens,NY,7274.1,7283.5,7293.3,7303.7,7314.6,7326.1,7338.2,3
6037,Los Angeles,CA,6667.5,6679.6,6691.9,6704.5,6717.4,6730.6,6744.3,3
17031,Cook,IL,5273.9,5287,5300.5,5314.3,5328.6,5343.3,5358.5,3
36005,Bronx,NY,4970.3,4982.1,4994.5,5007.4,5021.1,5035.3,5050.2,3
4013,Maricopa,AZ,3442,3456.2,3470.8,3486,3501.7,3518,3535.1,3
12086,Miami-Dade,FL,3354.1,3371.6,3389.7,3408.5,3427.9,3448.4,3469.8,3
36061,New York,NY,3189.6,3196.1,3202.5,3208.8,3214.8,3220.5,3225.8,3
26163,Wayne,MI,3009.6,3021.8,3034.4,3047.6,3061.2,3075.2,3089.7,3
48201,Harris,TX,2641.9,2655.1,2668.7,2682.7,2697.2,2712.2,2727.9,3
36059,Nassau,NY,2204.5,2204.9,2205.2,2205.6,2205.9,2206.3,2206.6,3
25017,Middlesex,MA,2183,2194.5,2206.2,2218,2230,2242.1,2254.3,3
34013,Essex,NJ,2137.2,2145.4,2153.9,2162.5,2171.3,2180.1,2188.9,3
34003,Bergen,NJ,2053.6,2060.6,2067.5,2074.6,2081.7,2088.7,2095.7,3
36103,Suffolk,NY,2017.7,2019.8,2021.3,2022,2022,2022,2022,3
42101,Philadelphia,PA,1844.5,1849.7,1854.5,1858.8,1862.9,1866.5,1869.5,3
48215,Hidalgo,TX,1570.2,1581.4,1592.9,1604.6,1616.6,1628.8,1641.1,3
34017,Hudson,NJ,1519.2,1519.4,1519.5,1519.7,1519.8,1520,1520.1,3
36119,Westchester,NY,1457.2,1457.4,1457.6,1457.8,1458,1458.2,1458.4,3
9003,Hartford,CT,1444.9,1449.8,1454.7,1459.4,1463.9,1468.2,1472,3
34023,Middlesex,NJ,1431.5,1432.6,1433.4,1433.7,1433.7,1433.7,1433.7,3
12011,Broward,FL,1430.3,1437.5,1444.5,1451.2,1457.6,1464.1,1470.5,3
9001,Fairfield,CT,1429.5,1436.2,1443.2,1450.4,1457.9,1465.5,1473.4,3
32003,Clark,NV,1419.8,1429.5,1439.3,1449.2,1459.1,1469,1479.3,3
12099,Palm Beach,FL,1405.8,1417.6,1429.8,1442.5,1455.8,1469.9,1484.5,3
34039,Union,NJ,1358,1358.2,1358.3,1358.5,1358.6,1358.8,1358.9,3
48029,Bexar,TX,1342.5,1352.1,1361.8,1371.4,1381,1390.7,1400.3,3
25009,Essex,MA,1303.8,1307.9,1311.8,1315.2,1318.4,1321.3,1323.6,3
6059,Orange,CA,1294.5,1301.6,1308.6,1315.4,1322.1,1328.8,1335.8,3
34031,Passaic,NJ,1256,1256,1256,1256,1256,1256,1256,2
6065,Riverside,CA,1244.6,1252.4,1260,1267.7,1275.2,1282.8,1290.9,3
26125,Oakland,MI,1207.2,1207.4,1207.5,1207.7,1207.8,1208,1208.1,3
48113,Dallas,TX,1158.8,1167.8,1176.9,1185.8,1194.7,1203.7,1212.7,3
25025,Suffolk,MA,1142,1142,1142,1142,1142,1142,1142,2
25027,Worcester,MA,1122.5,1122.9,1123.1,1123.5,1124,1124.4,1124.8,3
9009,New Haven,CT,1118,1120.8,1123.6,1126.2,1128.7,1130.8,1132.7,3
36085,Richmond,NY,1086,1086,1086,1086,1086,1086,1086,2
25021,Norfolk,MA,1078.1,1083.3,1088.6,1093.9,1099.3,1104.5,1109.7,3
34029,Ocean,NJ,1052.1,1054,1055.7,1057.2,1058.4,1059.2,1059.6,3
26099,Macomb,MI,1033.3,1034.1,1034.8,1035.6,1036.4,1037.1,1037.9,3
6071,San Bernardino,CA,962,962,962,962,962,962,962,2
27053,Hennepin,MN,951.2,958.2,965.3,972.5,979.8,987.2,994.6,3
48061,Cameron,TX,932.7,934.6,936.1,937.3,938.4,939.8,941.3,3
44007,Providence,RI,893,893,893,893,893,893,893,2
42091,Montgomery,PA,884.8,886.1,887.3,888.3,889,889.3,889.3,3
34025,Monmouth,NJ,868,868,868,868,868,868,868,2
24031,Montgomery,MD,853.5,857.1,860.6,864,867.3,870.4,873.4,3
24033,Prince Georges,MD,831.1,831.7,831.8,832.4,832.9,833.5,834,3
34027,Morris,NJ,830,830,830,830,830,830,830,2
18097,Marion,IN,824.4,826.7,828.6,830.2,831.5,832.4,832.8,3
29189,St Louis,MO,818.2,823.9,829.8,835.7,841.6,847.7,853.7,3
6073,San Diego,CA,805.3,807,808.7,810.4,812,813.7,815.4,3
25013,Hampden,MA,790.5,790.9,791.4,791.8,792.3,792.7,793.2,3
25023,Plymouth,MA,779,780.5,781.8,782.9,783.7,784.2,784.3,3
